sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
402,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:16",,,,,"Dakini Nada-Khechari,

diese wunderschön gefertigte komplet Feuervergoldete Kupferstatue mit einem Kaltgoldbemaltem Gesicht ist am Khatvanga- Stab 40 cm hoch die Feueraura ist 33 cm hoch. Die Statue ist mit vielen Schmucksteinen verziert, die Totenkopfmala ist aus Knochen hergestellt worden. Diese Statue ist eine Kopie des Ausstellungsstücks  Tibet Klöster öffnen ihre Schatzkammern.
Diese Statue wird beim Künstler zur Herstellung angefragt, der Preis steht für die neue Statue nicht fest.",,,,0,/a/1/a1-50-2012-049_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Dakini Nada-Khechari  diese St. ist eine Kopie der Ausst.  Tibet",,,"Product Info Column",,2999.0000,0,"Dakini Nada-Khechari  diese St. ist eine Kopie der Ausst.  Tibet",/a/1/a1-50-2012-049_7.jpg,,,,,2,5,/a/1/a1-50-2012-049_7.jpg,,"2015-04-10 12:20:06",dakini-nada-khechari-diese-st-ist-eine-kopie-der-ausst-tibet,dakini-nada-khechari-diese-st-ist-eine-kopie-der-ausst-tibet.html,4,10.0000,0.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/a/1/a1-50-2012-049_7.jpg,,1,0
,,,,"w. Bodhisattvas und Dakinis/Dakini Nada- Khechari,",Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sonderanfertigungen,Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:17",,,,,"Aksobhya Kupferstatue 8cm",,,,0,/2/0/2007_aksobhya_4_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Aksobhya Kupferstatue 8cm",,,"Product Info Column",,39.9999,0,"Aksobhya Kupferstatue 8cm",/2/0/2007_aksobhya_4_7.jpg,,,,,1,5,,,"2015-04-07 14:51:54",aksobhya-kupferstatue-8cm,aksobhya-kupferstatue-8cm-232.html,4,10.0000,1.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Buddhas/Aksobhya,Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:17",,,,,"Aksobhya teilvergoldete Kupferstatue 8cm",,,,0,/2/0/2007_aksobhya2_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Aksobhya teilvergoldete Kupferstatue 8cm",,,"Product Info Column",,49.0000,0,"Aksobhya teilvergoldete Kupferstatue 8cm",/2/0/2007_aksobhya2_7.jpg,,,,,1,5,,,"2015-04-07 14:51:54",aksobhya-teilvergoldete-kupferstatue-8cm,aksobhya-teilvergoldete-kupferstatue-8cm-233.html,4,10.0000,1.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Buddhas/Aksobhya,Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:17",,,,,"Aksobhya Gießstatue 12,5cm",,,,0,/2/0/2007_g5_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Aksobhya Gießstatue 12,5cm",,,"Product Info Column",,19.5001,0,"Aksobhya Gießstatue 12,5cm",/2/0/2007_g5_7.jpg,,,,,1,5,,,"2015-04-07 14:51:54",aksobhya-giessstatue-12-5cm,aksobhya-giessstatue-12-5cm-234.html,4,10.0000,2.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Buddhas/Aksobhya,Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:17",,,,,"Aksobhya vollvergoldete Kupferstatue Stele 27cm",,,,0,/c/i/cintamani304_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Aksobhya vollvergoldete Kupferstatue Stele 27cm",,,"Product Info Column",,999.0000,0,"Aksobhya vollvergoldete Kupferstatue Stele 27cm",/c/i/cintamani304_7.jpg,,,,,2,5,/c/i/cintamani304_7.jpg,,"2015-04-07 14:51:54",aksobhya-vollvergoldete-kupferstatue-stele-27cm,aksobhya-vollvergoldete-kupferstatue-stele-27cm-235.html,4,10.0000,1.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/c/i/cintamani304_7.jpg,,1,0
